Row	RPPA Core Ab Name**	Ab Name Reported on Dataset	Gene Name	NCBI Entrez Gene ID	Company	Catalog 	Internal Ab ID	RRID	Species	Validation Status*	RPPA Dilution	Storage
168	ENY2	ENY2	ENY2	56943	GeneTex	GTX629542	1219	AB_2721898	Mouse	Caution	 1:250	-20
169	EphA2	EphA2	EPHA2	1969	CST	6997	2421	AB_10827743	Rabbit	Valid	 1:250	-20
171	EphA2 (phoshpo Tyr588)	EphA2_pY588	EPHA2	1969	CST	12677	2423	AB_2797989	Rabbit	Caution	 1:250	-20
170	EphA2 (phospho Ser897)	EphA2_pS897	EPHA2	1969	CST	6347	2422	AB_11220420	Rabbit	Caution	 1:250	-20
165	Epithelial Membrane Antigen	EMA	MUC1	4582	DAKO	M061329-2	1350	AB_2750907	Mouse	Caution	 1:750	4
223	ErbB2/Her2 (phospho Tyr1248)	HER2_pY1248	ERBB2	2064	R&D Systems	AF1768	1075	AB_416537	Rabbit	Valid	 1:300	-20
225	ErbB3/HER3 (phospho Y1289)	HER3_pY1289	ERBB3	2065	CST	4791	728	AB_2099709	Rabbit	Caution	 1:50	-20
224	ErbB3/HER3 [discontinued]	HER3	ERBB3	2065	Santa Cruz	sc-285	911	AB_2099723	Rabbit	Valid	 1:300	4
174	ERCC1	ERCC1	ERCC1	2067	CST	5437	2549	AB_10831838	Rabbit	Caution	 1:250	-20
175	ERCC5/XPG	ERCC5	ERCC5	2073	Proteintech Group	11331-1-AP	1355	AB_2098155	Rabbit	Caution	 1:250	-20
176	Erk5-MAPK7	Erk5	MAPK7	5598	CST	3552	2193	AB_2297353	Rabbit	Valid	 1:150	-20
65	Erk5-MAPK7 (phospho Thr218 Tyr220)	BMK1-Erk5_pT218_Y220	MAPK7	5598	Millipore	07-507	2194	AB_310675	Rabbit	Valid	 1:500	4
177	ERRalpha	ERRalpha	ESRRA	2101	CST	13826	2369	AB_2750873	Rabbit	Valid	 1:250	-20
172	Estrogen Receptor alpha	ER-a	ESR1	2099	CST	13258	1942	AB_2632959	Rabbit	Valid	 1:37	-20
173	Estrogen Receptor alpha (phospho Ser118)	ER-a_pS118	ESR1	2099	Epitomics/Abcam	1091-1/ab32396	241	AB_732252	Rabbit	Valid	 1:500	-20
178	Ets-1	Ets-1	ETS1	2113	Bethyl	A303-501A	1200	AB_10951836	Rabbit	Valid	 1:100	4
179	EVI1	EVI1	MECOM	2122	CST	2593	2492	AB_2184098	Rabbit	Valid	 1:300	-20
180	FABP5	FABP5	FABP5	2171	Proteintech	12348-1-AP	2480	AB_2100341	Rabbit	Caution	 1:750	-20
181	FAK	FAK	PTK2	5747	CST	3285	1228	AB_2269034	Rabbit	Caution	 1:125	-20
182	FAK (phospho Tyr397)	FAK_pY397	PTK2	5747	CST	8556	2457	AB_10891442	Rabbit	Valid	 1:200	-20
183	FANCD2	FANCD2	FANCD2	2177	CST	16323	2302	AB_2798761	Rabbit	Valid	 1:30	-20
184	Fatty Acid Synthase	FASN	FASN	2194	CST	3180	1156	AB_2100796	Rabbit	Valid	 1:1000	-20
185	FGF-basic	FGF-basic	FGF2	2247	Peprotech/VWR	500-P18/10775-082	2085	AB_2750874	Rabbit	Caution	 1:1000	-20
186	FGFR1	FGFR1	FGFR1	2260	CST	9740	2618	AB_11178519	Rabbit	Valid	 1:250	-20
187	FGFR2	FGFR2	FGFR2	2263	CST	11835	2619	AB_2797742	Rabbit	Valid	 1:100	-20
188	Fibronectin	Fibronectin	FN1	2335	Epitomics/Abcam	1574-1/ab45688	262	AB_732380	Rabbit	Valid	 1:20000	-20
